ID No.,Treatment,NP_treatment,In_treatment,Age_death,Total_juv,No_clutch,Inf_mets,Spore_yield,Age_at_Mat,H_errors
130,A_LOW____,LOW,NO_METS,2,0,0,0,0,0,0
205,A_HIGH_METS,HIGH,METS,2,0,0,0,0,0,1
50,A_ZERO____,ZERO,NO_METS,3,0,0,0,0,0,0
210,A_HIGH____,HIGH,NO_METS,3,0,0,0,0,0,0
209,A_HIGH____,HIGH,NO_METS,4,0,0,0,0,0,0
29,A_ZERO____,ZERO,NO_METS,5,0,0,0,0,0,0
125,A_LOW_METS,LOW,METS,5,0,0,0,0,0,1
166,A_HIGH_METS,HIGH,METS,5,0,0,0,0,0,0
199,A_HIGH____,HIGH,NO_METS,6,0,0,0,0,0,0
161,A_HIGH_METS,HIGH,METS,7,0,0,0,0,0,0
165,A_HIGH_METS,HIGH,METS,7,0,0,0,0,0,0
180,A_HIGH_METS,HIGH,METS,7,0,0,0,0,0,0
190,A_HIGH____,HIGH,NO_METS,7,0,0,0,0,0,0
196,A_HIGH____,HIGH,NO_METS,7,0,0,0,0,0,0
99,A_LOW_METS,LOW,METS,9,0,0,0,0,0,0
174,A_HIGH_METS,HIGH,METS,9,0,0,0,0,0,0
84,A_LOW_METS,LOW,METS,10,0,0,0,0,0,0
202,A_HIGH_METS,HIGH,METS,10,0,0,0,0,0,0
170,A_HIGH_METS,HIGH,METS,13,2,1,0,0,13,1
175,A_HIGH_METS,HIGH,METS,13,2,1,1,2250,13,0
178,A_HIGH_METS,HIGH,METS,13,3,1,1,8250,13,0
204,A_HIGH_METS,HIGH,METS,13,1,1,1,750,12,0
95,A_LOW_METS,LOW,METS,14,1,1,1,750,14,0
122,A_LOW_METS,LOW,METS,14,2,1,1,10500,13,0
102,A_LOW____,LOW,NO_METS,14,2,1,0,0,13,1
162,A_HIGH_METS,HIGH,METS,14,0,0,1,750,0,0
167,A_HIGH_METS,HIGH,METS,14,0,0,0,0,0,0
168,A_HIGH_METS,HIGH,METS,14,2,1,1,3750,13,0
171,A_HIGH_METS,HIGH,METS,14,0,0,1,7500,0,0
201,A_HIGH_METS,HIGH,METS,14,3,1,1,6000,12,0
203,A_HIGH_METS,HIGH,METS,14,1,1,1,3000,13,0
2,A_ZERO_METS,ZERO,METS,15,1,1,1,27000,15,0
9,A_ZERO_METS,ZERO,METS,15,1,1,1,17250,13,0
42,A_ZERO_METS,ZERO,METS,15,2,1,1,10500,13,0
90,A_LOW_METS,LOW,METS,15,4,1,1,2250,13,0
163,A_HIGH_METS,HIGH,METS,15,0,0,1,6750,0,0
169,A_HIGH_METS,HIGH,METS,15,2,1,1,12750,13,0
172,A_HIGH_METS,HIGH,METS,15,3,1,1,12000,14,0
173,A_HIGH_METS,HIGH,METS,15,1,1,1,6000,13,0
6,A_ZERO_METS,ZERO,METS,16,3,2,1,15000,13,0
8,A_ZERO_METS,ZERO,METS,16,3,2,1,6750,13,0
14,A_ZERO_METS,ZERO,METS,16,2,1,1,19500,15,0
17,A_ZERO_METS,ZERO,METS,16,0,0,1,9000,0,0
41,A_ZERO_METS,ZERO,METS,16,2,2,1,19500,13,0
86,A_LOW_METS,LOW,METS,16,2,1,1,30750,13,0
97,A_LOW_METS,LOW,METS,16,1,1,1,19500,15,0
81,A_LOW_METS,LOW,METS,17,3,1,1,15750,12,0
104,A_LOW____,LOW,NO_METS,16,5,2,0,0,12,1
176,A_HIGH_METS,HIGH,METS,16,2,1,1,15750,14,0
1,A_ZERO_METS,ZERO,METS,17,5,3,0,0,13,0
11,A_ZERO_METS,ZERO,METS,17,7,2,1,16500,12,0
18,A_ZERO_METS,ZERO,METS,17,0,0,1,19500,0,0
43,A_ZERO_METS,ZERO,METS,17,6,2,1,30000,13,0
28,A_ZERO____,ZERO,NO_METS,17,5,2,0,0,13,0
87,A_LOW_METS,LOW,METS,17,2,1,1,21750,13,0
91,A_LOW_METS,LOW,METS,17,0,0,1,26250,0,0
92,A_LOW_METS,LOW,METS,17,5,2,1,15750,13,0
93,A_LOW_METS,LOW,METS,17,1,1,1,35250,15,0
94,A_LOW_METS,LOW,METS,17,0,0,1,23250,0,0
98,A_LOW_METS,LOW,METS,17,1,1,1,34500,14,0
124,A_LOW_METS,LOW,METS,17,2,1,1,35250,12,0
89,A_LOW_METS,LOW,METS,18,5,2,1,10500,13,0
179,A_HIGH_METS,HIGH,METS,17,2,1,1,750,15,0
189,A_HIGH____,HIGH,NO_METS,17,0,0,0,0,0,0
45,A_ZERO_METS,ZERO,METS,18,3,1,0,0,16,0
39,A_ZERO____,ZERO,NO_METS,18,0,0,0,0,0,0
96,A_LOW_METS,LOW,METS,18,0,0,1,24000,0,0
123,A_LOW_METS,LOW,METS,18,0,0,1,39000,0,0
85,A_LOW_METS,LOW,METS,29,11,5,0,0,13,0
30,A_ZERO____,ZERO,NO_METS,19,5,3,0,0,13,0
38,A_ZERO____,ZERO,NO_METS,19,0,0,0,0,0,0
197,A_HIGH____,HIGH,NO_METS,19,4,3,0,0,15,0
208,A_HIGH____,HIGH,NO_METS,19,5,3,0,0,13,0
24,A_ZERO____,ZERO,NO_METS,20,4,3,0,0,13,0
15,A_ZERO_METS,ZERO,METS,21,2,1,0,0,16,0
34,A_ZERO____,ZERO,NO_METS,21,2,1,0,0,17,0
182,A_HIGH____,HIGH,NO_METS,28,8,6,0,0,13,0
183,A_HIGH____,HIGH,NO_METS,28,5,4,0,0,15,0
3,A_ZERO_METS,ZERO,METS,29,12,5,0,0,13,0
4,A_ZERO_METS,ZERO,METS,29,15,6,0,0,13,0
5,A_ZERO_METS,ZERO,METS,29,10,5,0,0,15,0
7,A_ZERO_METS,ZERO,METS,29,8,5,0,0,13,0
10,A_ZERO_METS,ZERO,METS,29,16,6,0,0,15,0
12,A_ZERO_METS,ZERO,METS,29,16,7,0,0,12,0
13,A_ZERO_METS,ZERO,METS,29,14,6,0,0,13,0
16,A_ZERO_METS,ZERO,METS,29,18,7,0,0,13,0
19,A_ZERO_METS,ZERO,METS,29,10,5,0,0,17,0
20,A_ZERO_METS,ZERO,METS,29,19,7,0,0,14,0
44,A_ZERO_METS,ZERO,METS,29,18,6,0,0,12,0
21,A_ZERO____,ZERO,NO_METS,29,10,4,0,0,14,0
22,A_ZERO____,ZERO,NO_METS,29,10,5,0,0,14,0
23,A_ZERO____,ZERO,NO_METS,29,7,6,0,0,16,0
25,A_ZERO____,ZERO,NO_METS,29,4,3,0,0,13,0
26,A_ZERO____,ZERO,NO_METS,29,10,6,0,0,15,0
27,A_ZERO____,ZERO,NO_METS,29,11,6,0,0,13,0
31,A_ZERO____,ZERO,NO_METS,29,14,5,0,0,15,0
32,A_ZERO____,ZERO,NO_METS,29,9,6,0,0,14,0
33,A_ZERO____,ZERO,NO_METS,29,12,6,0,0,13,0
35,A_ZERO____,ZERO,NO_METS,29,12,6,0,0,13,0
36,A_ZERO____,ZERO,NO_METS,29,11,5,0,0,14,0
37,A_ZERO____,ZERO,NO_METS,29,10,5,0,0,15,0
40,A_ZERO____,ZERO,NO_METS,29,8,5,0,0,17,0
46,A_ZERO____,ZERO,NO_METS,29,0,0,0,0,0,0
47,A_ZERO____,ZERO,NO_METS,29,14,7,0,0,11,0
49,A_ZERO____,ZERO,NO_METS,29,12,6,0,0,13,0
48,A_ZERO____,ZERO,NO_METS,29,1,1,0,0,21,0
82,A_LOW_METS,LOW,METS,29,10,5,0,0,13,0
83,A_LOW_METS,LOW,METS,29,9,3,0,0,17,0
88,A_LOW_METS,LOW,METS,29,15,6,0,0,13,0
100,A_LOW_METS,LOW,METS,29,12,6,0,0,13,0
121,A_LOW_METS,LOW,METS,29,20,8,0,0,13,0
101,A_LOW____,LOW,NO_METS,29,10,6,0,0,12,0
